HCPCS,MOD,DESCRIPTION,CODE
A0021,,Outside state ambulance serv,I
A0080,,Noninterest escort in non er,I
A0090,,Interest escort in non er,I
A0100,,Nonemergency transport taxi,I
A0110,,Nonemergency transport bus,I
A0120,,Noner transport mini-bus,I
A0130,,Noner transport wheelch van,I
A0140,,Nonemergency transport air,I
A0160,,Noner transport case worker,I
A0170,,Transport parking fees/tolls,I
A0180,,Noner transport lodgng recip,I
A0190,,Noner transport meals recip,I
A0200,,Noner transport lodgng escrt,I
A0210,,Noner transport meals escort,I
A0225,,Neonatal emergency transport,I
A0380,,Basic life support mileage,I
A0382,,Basic support routine suppls,X
A0384,,Bls defibrillation supplies,X
A0390,,Advanced life support mileag,I
A0392,,Als defibrillation supplies,X
A0394,,Als IV drug therapy supplies,X
A0396,,Als esophageal intub suppls,X
A0398,,Als routine disposble suppls,X
A0420,,Ambulance waiting 1/2 hr,X
A0422,,Ambulance 02 life sustaining,X
A0424,,Extra ambulance attendant,X
A0425,,Ground mileage,X
A0426,,Als 1,X
A0427,,ALS1-emergency,X
A0428,,bls,X
A0429,,BLS-emergency,X
A0430,,Fixed wing air transport,X
A0431,,Rotary wing air transport,X
A0432,,PI volunteer ambulance co,X
A0433,,als 2,X
A0434,,Specialty care transport,X
A0435,,Fixed wing air mileage,X
A0436,,Rotary wing air mileage,X
A0888,,Noncovered ambulance mileage,N
A0998,,Ambulance response/treatment,I
A0999,,Unlisted ambulance service,X
A4206,,1 CC sterile syringe&needle,X
A4207,,2 CC sterile syringe&needle,X
A4208,,3 CC sterile syringe&needle,X
A4209,,5+ CC sterile syringe&needle,X
A4210,,Nonneedle injection device,N
A4211,,Supp for self-adm injections,P
A4212,,Non coring needle or stylet,P
A4213,,20+ CC syringe only,X
A4215,,Sterile needle,X
A4216,,"Sterile water/saline, 10 ml",X
A4217,,"Sterile water/saline, 500 ml",X
A4218,,Sterile saline or water,X
A4220,,Infusion pump refill kit,P
A4221,,Maint drug infus cath per wk,X
A4222,,Infusion supplies with pump,X
A4223,,Infusion supplies w/o pump,X
A4230,,Infus insulin pump non needl,X
A4231,,Infusion insulin pump needle,X
A4232,,Syringe w/needle insulin 3cc,I
A4233,,Alkalin batt for glucose mon,X
A4234,,J-cell batt for glucose mon,X
A4235,,Lithium batt for glucose mon,X
A4236,,Silvr oxide batt glucose mon,X
A4244,,Alcohol or peroxide per pint,X
A4245,,Alcohol wipes per box,X
A4246,,Betadine/phisohex solution,X
A4247,,Betadine/iodine swabs/wipes,X
A4248,,Chlorhexidine antisept,X
A4250,,Urine reagent strips/tablets,N
A4252,,Blood ketone test or strip,N
A4253,,Blood glucose/reagent strips,P
A4255,,Glucose monitor platforms,X
A4256,,Calibrator solution/chips,P
A4257,,Replace Lensshield Cartridge,X
A4258,,Lancet device each,P
A4259,,Lancets per box,P
A4261,,Cervical cap contraceptive,N
A4262,,Temporary tear duct plug,B
A4263,,Permanent tear duct plug,B
A4264,,Intratubal occlusion device,I
A4265,,Paraffin,P
A4266,,Diaphragm,I
A4267,,Male condom,I
A4268,,Female condom,I
A4269,,Spermicide,I
A4270,,Disposable endoscope sheath,B
A4280,,Brst prsths adhsv attchmnt,X
A4281,,Replacement breastpump tube,X
A4282,,Replacement breastpump adpt,X
A4283,,Replacement breastpump cap,X
A4284,,Replcmnt breast pump shield,X
A4285,,Replcmnt breast pump bottle,X
A4286,,Replcmnt breastpump lok ring,X
A4290,,Sacral nerve stim test lead,X
A4300,,Cath impl vasc access portal,B
A4301,,Implantable access syst perc,P
A4305,,Drug delivery system >=50 ML,P
A4306,,Drug delivery system <=50 ml,P
A4310,,Insert tray w/o bag/cath,P
A4311,,Catheter w/o bag 2-way latex,P
A4312,,Cath w/o bag 2-way silicone,P
A4313,,Catheter w/bag 3-way,P
A4314,,Cath w/drainage 2-way latex,P
A4315,,Cath w/drainage 2-way silcne,P
A4316,,Cath w/drainage 3-way,P
A4320,,Irrigation tray,P
A4321,,Cath therapeutic irrig agent,X
A4322,,Irrigation syringe,P
A4326,,Male external catheter,P
A4327,,Fem urinary collect dev cup,P
A4328,,Fem urinary collect pouch,P
A4330,,Stool collection pouch,P
A4331,,Extension drainage tubing,X
A4332,,Lube sterile packet,X
A4333,,Urinary cath anchor device,X
A4334,,Urinary cath leg strap,X
A4335,,Incontinence supply,P
A4336,,Urethral insert,X
A4338,,Indwelling catheter latex,P
A4340,,Indwelling catheter special,P
A4344,,Cath indw foley 2 way silicn,P
A4346,,Cath indw foley 3 way,P
A4349,,Disposable male external cat,X
A4351,,Straight tip urine catheter,P
A4352,,Coude tip urinary catheter,P
A4353,,Intermittent urinary cath,X
A4354,,Cath insertion tray w/bag,P
A4355,,Bladder irrigation tubing,P
A4356,,Ext ureth clmp or compr dvc,P
A4357,,Bedside drainage bag,P
A4358,,Urinary leg or abdomen bag,P
A4360,,Disposable ext urethral dev,X
A4361,,Ostomy face plate,P
A4362,,Solid skin barrier,P
A4363,,"Ostomy clamp, replacement",X
A4364,,"Adhesive, liquid or equal",P
A4366,,Ostomy vent,X
A4367,,Ostomy belt,P
A4368,,Ostomy filter,X
A4369,,Skin barrier liquid per oz,X
A4371,,Skin barrier powder per oz,X
A4372,,Skin barrier solid 4x4 equiv,X
A4373,,Skin barrier with flange,X
A4375,,Drainable plastic pch w fcpl,X
A4376,,Drainable rubber pch w fcplt,X
A4377,,Drainable plstic pch w/o fp,X
A4378,,Drainable rubber pch w/o fp,X
A4379,,Urinary plastic pouch w fcpl,X
A4380,,Urinary rubber pouch w fcplt,X
A4381,,Urinary plastic pouch w/o fp,X
A4382,,Urinary hvy plstc pch w/o fp,X
A4383,,Urinary rubber pouch w/o fp,X
A4384,,Ostomy faceplt/silicone ring,X
A4385,,Ost skn barrier sld ext wear,X
A4387,,Ost clsd pouch w att st barr,X
A4388,,Drainable pch w ex wear barr,X
A4389,,Drainable pch w st wear barr,X
A4390,,Drainable pch ex wear convex,X
A4391,,Urinary pouch w ex wear barr,X
A4392,,Urinary pouch w st wear barr,X
A4393,,Urine pch w ex wear bar conv,X
A4394,,Ostomy pouch liq deodorant,X
A4395,,Ostomy pouch solid deodorant,X
A4396,,Peristomal hernia supprt blt,X
A4397,,Irrigation supply sleeve,P
A4398,,Ostomy irrigation bag,P
A4399,,Ostomy irrig cone/cath w brs,P
A4400,,Ostomy irrigation set,P
A4402,,Lubricant per ounce,P
A4404,,Ostomy ring each,P
A4405,,Nonpectin based ostomy paste,X
A4406,,Pectin based ostomy paste,X
A4407,,"Ext wear ost skn barr <=4sq""",X
A4408,,"Ext wear ost skn barr >4sq""",X
A4409,,Ost skn barr convex <=4 sq i,X
A4410,,Ost skn barr extnd >4 sq,X
A4411,,Ost skn barr extnd =4sq,X
A4412,,Ost pouch drain high output,X
A4413,,2 pc drainable ost pouch,X
A4414,,Ost sknbar w/o conv<=4 sq in,X
A4415,,Ost skn barr w/o conv >4 sqi,X
A4416,,Ost pch clsd w barrier/filtr,X
A4417,,Ost pch w bar/bltinconv/fltr,X
A4418,,Ost pch clsd w/o bar w filtr,X
A4419,,Ost pch for bar w flange/flt,X
A4420,,Ost pch clsd for bar w lk fl,X
A4421,,Ostomy supply misc,X
A4422,,Ost pouch absorbent material,X
A4423,,Ost pch for bar w lk fl/fltr,X
A4424,,Ost pch drain w bar & filter,X
A4425,,Ost pch drain for barrier fl,X
A4426,,Ost pch drain 2 piece system,X
A4427,,Ost pch drain/barr lk flng/f,X
A4428,,Urine ost pouch w faucet/tap,X
A4429,,Urine ost pouch w bltinconv,X
A4430,,Ost urine pch w b/bltin conv,X
A4431,,Ost pch urine w barrier/tapv,X
A4432,,Os pch urine w bar/fange/tap,X
A4433,,Urine ost pch bar w lock fln,X
A4434,,Ost pch urine w lock flng/ft,X
A4450,,Non-waterproof tape,X
A4452,,Waterproof tape,X
A4455,,Adhesive remover per ounce,P
A4456,,"Adhesive remover, wipes",X
A4458,,Reusable enema bag,X
A4461,,Surgicl dress hold non-reuse,X
A4463,,Surgical dress holder reuse,X
A4465,,Non-elastic extremity binder,P
A4466,,Elastic garment/covering,I
A4470,,Gravlee jet washer,P
A4480,,Vabra aspirator,P
A4481,,Tracheostoma filter,X
A4483,,Moisture exchanger,X
A4490,,Above knee surgical stocking,N
A4495,,Thigh length surg stocking,N
A4500,,Below knee surgical stocking,N
A4510,,Full length surg stocking,N
A4520,,Incontinence garment anytype,N
A4550,,Surgical trays,B
A4554,,Disposable underpads,N
A4556,,"Electrodes, pair",P
A4557,,"Lead wires, pair",P
A4558,,Conductive gel or paste,P
A4559,,Coupling gel or paste,X
A4561,,"Pessary rubber, any type",X
A4562,,"Pessary, non rubber,any type",X
A4565,,Slings,X
A4566,,Should sling/vest/abrestrain,I
